Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late,Bike_Path_Dist_m,total_safe_bike_path_meters,Pax_annual_norm,Pax_AM_peak_norm,Bike_Path_Dist_m_norm,Train_Line
FY24-25,19891,Sandown Park,-37.95650457,145.1628259,458700,1550,1650,1200,650,500,150,950,350,150,50,25.09635268801341,1878.3307305501162,0.023238991788414126,0.23684210526315788,0.00862981358905302,Cranbourne Line
FY24-25,19891,Sandown Park,-37.95650457,145.1628259,458700,1550,1650,1200,650,500,150,950,350,150,50,25.09635268801341,1878.3307305501162,0.023238991788414126,0.23684210526315788,0.00862981358905302,Pakenham Line
FY24-25,19891,Sandown Park,-37.95650457,145.1628259,458700,1550,1650,1200,650,500,150,950,350,150,50,25.09635268801341,1878.3307305501162,0.023238991788414126,0.23684210526315788,0.00862981358905302,Sunbury Line
FY24-25,19892,East Camberwell,-37.82589419,145.0681902,185950,600,700,350,300,200,50,250,150,250,50,24.323702997237195,3555.08641515233,0.00934500886362247,0.05263157894736842,0.008359487283216874,Belgrave Line
FY24-25,19892,East Camberwell,-37.82589419,145.0681902,185950,600,700,350,300,200,50,250,150,250,50,24.323702997237195,3555.08641515233,0.00934500886362247,0.05263157894736842,0.008359487283216874,Lilydale Line
FY24-25,19893,Canterbury,-37.82448518,145.0812242,268450,850,900,650,500,400,50,400,200,250,50,152.30848825472785,521.5823829816404,0.01354758848340363,0.09210526315789473,0.05313741784464986,Belgrave Line
FY24-25,19893,Canterbury,-37.82448518,145.0812242,268450,850,900,650,500,400,50,400,200,250,50,152.30848825472785,521.5823829816404,0.01354758848340363,0.09210526315789473,0.05313741784464986,Lilydale Line
FY24-25,19894,Chatham,-37.82429952,145.0886479,183300,600,600,500,350,250,50,300,150,150,50,418.7797202775162,153.7598009512427,0.009210016912199198,0.06578947368421052,0.14636748656047452,Belgrave Line
FY24-25,19894,Chatham,-37.82429952,145.0886479,183300,600,600,500,350,250,50,300,150,150,50,418.7797202775162,153.7598009512427,0.009210016912199198,0.06578947368421052,0.14636748656047452,Lilydale Line
FY24-25,19897,Laburnum,-37.82078023,145.1407027,316900,1000,1100,750,600,450,50,550,200,250,50,28.083407987402445,2078.2380291138334,0.016015648878293293,0.13157894736842105,0.00967489214671208,Belgrave Line
FY24-25,19897,Laburnum,-37.82078023,145.1407027,316900,1000,1100,750,600,450,50,550,200,250,50,28.083407987402445,2078.2380291138334,0.016015648878293293,0.13157894736842105,0.00967489214671208,Lilydale Line
FY24-25,19898,Blackburn,-37.82007075,145.1500135,1206950,3750,3950,3100,2600,1950,250,1850,800,900,150,37.61076030571297,2363.3109941469534,0.061355115430853556,0.47368421052631576,0.013008218992440779,Belgrave Line
FY24-25,19898,Blackburn,-37.82007075,145.1500135,1206950,3750,3950,3100,2600,1950,250,1850,800,900,150,37.61076030571297,2363.3109941469534,0.061355115430853556,0.47368421052631576,0.013008218992440779,Lilydale Line
FY24-25,19899,Nunawading,-37.82060317,145.1748917,758050,2500,2600,2150,1250,950,200,1250,500,550,100,9.61039825637404,2238.145030563109,0.03848798826334128,0.3157894736842105,0.00321175556893474,Belgrave Line
FY24-25,19899,Nunawading,-37.82060317,145.1748917,758050,2500,2600,2150,1250,950,200,1250,500,550,100,9.61039825637404,2238.145030563109,0.03848798826334128,0.3157894736842105,0.00321175556893474,Lilydale Line
FY24-25,19900,Mitcham,-37.81800987,145.1919735,925550,3050,3200,2550,1550,1050,350,1600,600,600,100,33.04518419661333,2279.4473818902034,0.047020498400472725,0.40789473684210525,0.011410864669621098,Belgrave Line
FY24-25,19900,Mitcham,-37.81800987,145.1919735,925550,3050,3200,2550,1550,1050,350,1600,600,600,100,33.04518419661333,2279.4473818902034,0.047020498400472725,0.40789473684210525,0.011410864669621098,Lilydale Line
FY24-25,19901,Heatherdale,-37.81889537,145.2127872,448700,1500,1600,1250,650,450,200,900,250,250,50,12.865384827458286,4346.363095831231,0.02272958819813762,0.2236842105263158,0.004350575018177647,Belgrave Line
FY24-25,19901,Heatherdale,-37.81889537,145.2127872,448700,1500,1600,1250,650,450,200,900,250,250,50,12.865384827458286,4346.363095831231,0.02272958819813762,0.2236842105263158,0.004350575018177647,Lilydale Line
FY24-25,19902,Ringwood,-37.81588648,145.2289685,1514250,4650,4700,4500,3350,2450,350,1300,1250,1500,350,39.20724294655856,4344.669433605989,0.07700908776005053,0.32894736842105265,0.013566779048548173,Belgrave Line
FY24-25,19902,Ringwood,-37.81588648,145.2289685,1514250,4650,4700,4500,3350,2450,350,1300,1250,1500,350,39.20724294655856,4344.669433605989,0.07700908776005053,0.32894736842105265,0.013566779048548173,Lilydale Line
FY24-25,19903,Auburn,-37.82239831,145.0458437,650000,2050,2150,1700,1300,950,100,950,450,600,100,292.89841807496987,532.3275448680205,0.03298388247040365,0.23684210526315788,0.1023254998691035,Alamein Line
FY24-25,19903,Auburn,-37.82239831,145.0458437,650000,2050,2150,1700,1300,950,100,950,450,600,100,292.89841807496987,532.3275448680205,0.03298388247040365,0.23684210526315788,0.1023254998691035,Belgrave Line
FY24-25,19903,Auburn,-37.82239831,145.0458437,650000,2050,2150,1700,1300,950,100,950,450,600,100,292.89841807496987,532.3275448680205,0.03298388247040365,0.23684210526315788,0.1023254998691035,Lilydale Line
FY24-25,19904,Glenferrie,-37.82146682,145.0364388,1978650,6800,7300,4900,2500,1900,100,1050,2000,3450,650,76.01540662299614,1479.168866876335,0.10066579049249139,0.2631578947368421,0.026444820714840042,Alamein Line
FY24-25,19904,Glenferrie,-37.82146682,145.0364388,1978650,6800,7300,4900,2500,1900,100,1050,2000,3450,650,76.01540662299614,1479.168866876335,0.10066579049249139,0.2631578947368421,0.026444820714840042,Belgrave Line
